label,right_shoulder,left_shoulder
bas,37.58058514620649,29.51692117335531
bas,35.36291369804095,26.04417953586975
bas,36.56565481031384,20.66222061973392
bas,37.065738898424016,23.848951078102143
bas,35.607184083578055,26.279409247466692
bas,37.8189888498442,28.628798798858632
bas,40.036327803287854,26.301586791565896
milieu,43.7577456267074,28.740263267582268
milieu,49.897617752332465,34.55508397671266
milieu,58.57057803992458,39.095761783368474
milieu,74.73185476301448,52.401428405886364
milieu,96.58452260903542,69.3939453549958
milieu,106.96836728759389,97.94016126701705
milieu,122.14858367837203,123.08120563160034
milieu,136.93254613388493,139.21382858821306
milieu,145.00357102197844,146.66780633280356
haut,153.77145304924255,158.71296862267977
haut,158.01893707348367,163.464977844437
haut,166.20710599338233,166.01271789689545
haut,170.14723968650583,171.88346773339703
haut,172.95980506628618,169.66814563881982
haut,171.01902404713604,169.4180912048155
haut,171.0753197514682,168.94098623482347
haut,169.62156863027738,171.66717020040116
haut,168.35091713738927,170.7565575723603
haut,170.38626573708967,172.5616358015074
haut,172.47289894305558,173.69415083966172
haut,172.33432958613596,176.57046815562668
haut,175.49551829055758,172.65620069044613
haut,170.72721871598156,174.3068980102921
haut,171.683282437586,173.89940140174548
haut,170.08443335734773,168.50531551763973
haut,165.60125795852107,169.2932844106228
milieu,161.70283367577585,164.79245817051833
milieu,156.25836677883757,162.8260064606298
milieu,151.2817593650575,155.6892041971321
milieu,139.68051998804376,151.48498656440947
milieu,132.5064288549399,136.52721504840395
milieu,128.46894918649005,124.57214125229639
milieu,109.49149926829898,103.25195542619655
milieu,95.43651227274934,82.43450313066508
milieu,86.23097873906288,64.92865689842226
milieu,69.36478494339579,54.593130576141796
milieu,63.802735743658836,42.99842852426201
milieu,64.18659849394882,37.620699837683915
milieu,54.04224612946194,37.49449015898323
bas,47.81958224339563,38.59744001856958
bas,45.28794358170837,30.490745410985404
bas,44.43770713796542,26.059461569201464
bas,39.580686688906,28.914211407598437
bas,39.35736349481415,32.51763656625375
bas,39.23832597988624,31.528698788334907
bas,40.77235544737532,26.32750617250746
bas,40.77561957676311,32.19250846092371
bas,40.088267976305964,33.36085453185327
bas,41.56713204274024,33.34602456303172
bas,40.741891128499574,30.4724935069252
bas,40.47467990423199,67.48303530793382
bas,41.34433249940947,41.616815657476245
bas,45.45048531484591,25.368930857606166
bas,46.60076441902536,37.78397506501847
milieu,57.255067286974885,37.67672130258631
milieu,72.63494078724048,54.5732481333966
milieu,96.25975106040246,79.87850794957717
milieu,118.62301460625086,112.83748760065902
milieu,137.26538572108126,137.6637515952978
