label,right_shoulder,left_shoulder,wrist,elbow
bas,34.79891105805295,14.785337399477397,0.4775245138855685,0.4888813106954727
bas,38.15145917155345,19.54870872058083,0.43483580117797116,0.46277821425507687
bas,37.75350804259191,18.793575237456114,0.4420884791800063,0.47319808785753814
bas,37.905450940436275,19.214415470776554,0.4360409047151736,0.46962893808993406
bas,37.87260643494526,18.84657609215901,0.4371421858447286,0.4656042850162009
bas,39.17794610524187,17.73370312111655,0.45084547694410054,0.4767464239663489
bas,39.96016646091218,17.105715980057344,0.4502984056374957,0.4651508591616573
bas,39.089538811378986,16.09906109230022,0.4505231789459255,0.4500699937201671
bas,40.44718630462539,17.816627980494765,0.4549657899001716,0.46649673999301
bas,39.809442653860565,18.96678244296235,0.45266022897339686,0.4557938598028759
bas,41.07924469870824,27.365453364882672,0.4666411576418999,0.44275974087662834
bas,48.95953800524245,40.81117966192877,0.48531026229876256,0.4412258691645899
haut,164.08612588634753,166.05619667424455,0.6585042974242195,0.6102788437543074
haut,168.4518177128161,168.31506115692312,0.6496747586312507,0.6401932404798487
haut,166.42758837393134,161.61212570390515,0.6640052280276872,0.600936920999716
bas,52.69441203195231,34.28405166103003,0.49349459419334324,0.42709994919654015
bas,48.89376572801798,28.005597695248643,0.49336014413667145,0.4334439608157696
bas,49.4272273819642,28.369086168252775,0.4817191188310127,0.4324242427682223
bas,45.88558776770742,29.919011703353256,0.4972348724178921,0.43361310470651926
bas,53.807565582122045,41.467234539104446,0.49772527650434023,0.4085377364732575
haut,168.66462197639828,169.10794252907493,0.6357049856936633,0.6438672842612948
haut,169.63401667735184,168.39439369864388,0.661761517713624,0.6536238695502398
haut,166.41700191558817,163.04103478459143,0.6559279873582787,0.6081881341875304
bas,46.70721785903224,32.7134699931699,0.4938202402171993,0.4370361786381754
bas,46.52385255851601,29.98656692280279,0.4766705715891338,0.43838579045376547
bas,45.50975930187577,28.34282981068873,0.4749640679814078,0.4478292935478147
bas,46.69127302842638,27.602870996127315,0.45761900457399185,0.42590748084420704
bas,48.349849873128804,36.62408867069295,0.4911511744171246,0.4359186253595325
haut,164.1015677842737,167.67259616373485,0.6383384970913195,0.6051777241038764
haut,164.42735815264584,165.13976815048315,0.6543361170571448,0.6106001711965018
bas,45.56074762611261,28.317686571801886,0.48237133459065756,0.4510562679119355
bas,45.056465425479715,24.661783424801495,0.4533449127513202,0.44710703031392607
bas,45.29377169875786,24.836858533123483,0.45525583583404106,0.4574913214550319
bas,44.21357476174765,27.775675935299912,0.47689049634239333,0.44937087978421075
haut,163.41208120914578,164.65058366303185,0.6351395201363463,0.6003842010113393
haut,170.56459221141202,167.7893797690178,0.6862318554283484,0.6718269314249423
haut,170.52059394851742,166.34281297190765,0.692664388889594,0.6680854841454512
bas,45.24791357124097,26.169884593022648,0.4952629654168484,0.4353401195517793
bas,43.28420070243599,22.416878372230716,0.4770035017485295,0.4568204002469498
bas,42.16221929907125,19.8608216144959,0.4777219608744295,0.4550079139776701
bas,42.54665032040775,22.6422576162457,0.46017270520282777,0.4457136479868677
bas,42.69783237943123,25.845471426440966,0.47497073232698467,0.4456241853893092
haut,166.27409964219896,163.9993079895487,0.6616842939296447,0.6105405382026331
haut,163.95798885078463,159.45223641269604,0.6306279779515073,0.5791563341088104
bas,41.92051962786858,27.402007222782903,0.4841960885469893,0.45143707028821306
bas,39.26636212278516,19.390905569700507,0.47834950797735587,0.45677638577895574
bas,40.787211815324476,19.776700506233336,0.4701351365139249,0.4759535495040912
bas,40.45772334878143,23.03324997892087,0.4686007969381879,0.47552294975674136
bas,41.83303068782983,27.680982158587558,0.46860312253699543,0.4454116888060162
bas,44.46653245252487,32.103661762092145,0.4956984089752015,0.44287625595657537
haut,171.67487717223597,167.11329474496773,0.6978359597112809,0.672682365279428
haut,166.85968857619545,162.69736015218845,0.6451600571881457,0.6035813513708647
bas,43.42198641601141,26.494431810418057,0.47433376857426773,0.4575295022958862
bas,42.19531951072309,23.82188893535112,0.46799717959963155,0.47012646074398845
bas,42.251310757887495,23.705770804733863,0.4778164229426785,0.4625942654273669
bas,42.144535974667434,26.22795575981992,0.4791291494439896,0.45069979202703253
haut,169.00958647652283,167.16243886101273,0.6641480392912003,0.6469571437047306
haut,171.5071641588222,167.64995661635672,0.6975365110734479,0.6699106274172265
haut,166.56166936476208,162.21867292965538,0.6710842026405128,0.6141921321688405
bas,42.32477017397178,25.85732518891193,0.482331109155336,0.4693319929009567
