label,left_elbow_shoulder_hip,right_elbow_shoulder_hip,right_elbow_angle,left_elbow_angle,wrist,elbow
bas,8.48747860625812,10.304277401141846,179.13332841514938,178.26388412345602,0.7082981771084403,0.8322212399562663
bas,8.576457874919974,10.274132843006383,179.05560066143198,178.38755732386352,0.7047829619188224,0.8300886725850445
bas,8.725402993860278,10.33543110221784,179.1398762622791,178.71053941345937,0.7053411775321848,0.8265667948503963
bas,8.7487174295605,10.482064691032262,179.14121865461988,178.73442595324485,0.7087286395369113,0.8247990835883701
bas,8.840605137153558,10.822702468785508,178.90398089482142,179.03200947449375,0.7058728649808979,0.8163346929685886
bas,8.981342553012999,11.002237939887966,178.49932937159082,179.1608934296867,0.7079440985768318,0.8128955579535739
bas,9.078961262753598,10.980146835906092,178.4734799942691,179.17291068324815,0.7088838755274863,0.8126216867668615
bas,9.070875405422461,11.148380241336989,178.26071573064306,179.080393418079,0.7087316908660648,0.8126154964210132
bas,8.654518574177613,11.290959671830393,178.06167015230113,179.01420290464688,0.7158707331910082,0.8175653510596333
bas,8.836211606558976,11.214351887170158,178.02976216992593,179.17761616886472,0.7137440340840194,0.8128953627404939
bas,8.979026423272055,11.158268918750633,177.90767329114726,179.1339825352123,0.7150878861911193,0.8149370599156738
bas,8.827373405989249,11.056457790894509,178.18006455130953,179.17369107759686,0.7154773020033015,0.8161750047084195
bas,8.939471056506637,11.092292360051738,177.97226489226708,179.18124250715724,0.7183984132727971,0.8159342745340789
bas,8.817104120585519,10.866474240126012,178.09143600474027,178.64841516588825,0.7149203497523103,0.8207408603891532
bas,8.80294701207255,10.791356754186243,178.0514152706224,178.71864516979602,0.7185463255601512,0.8230062090918007
bas,8.792808801450827,10.762068307489434,178.7341504025276,178.52504817200779,0.7095827652370562,0.8226495582023171
bas,8.974100238523505,10.978098597489963,178.3746716917322,178.6231802059283,0.7042316590550021,0.8138246450139976
bas,9.209025896055904,11.854962183794697,176.50474747968957,178.74192207832283,0.6989356719421996,0.7968565811055992
bas,10.04712169957541,12.186187049310576,176.23940576058712,179.0729272866536,0.6915621411871933,0.7835046639755806
bas,10.471451887224509,12.285533302167288,175.53675449565577,178.07094757387563,0.7135795626484227,0.7843415900041101
bas,10.4595261243993,12.442699653932703,175.74884563223574,178.23248208746716,0.7094764464098572,0.7859724145073611
bas,10.779979371002383,12.630515229239766,175.99868472272473,177.92863773109025,0.705093223305868,0.7818340139515789
